# free energy profile (in units of kT), from histogramming
#      bin        f       df 
   0.263    2.219    4.079 
   0.290    2.638    4.068 
   0.317    4.674    3.925 
   0.343    6.090    3.670 
   0.370    6.969    2.993 
   0.397    6.168    1.317 
   0.423    4.718    1.123 
   0.450    3.760    1.062 
   0.477    2.205    0.775 
   0.503    1.632    0.755 
   0.530    0.198    0.132 
   0.557    0.000    0.000 
   0.583    1.394    0.574 
   0.610    2.182    0.823 
   0.637    4.071    1.293 
